Date,Y
2012/1/3,1.872
2012/1/4,1.847333
2012/1/5,1.808
2012/1/6,1.794
2012/1/9,1.816667
2012/1/10,1.841333
2012/1/11,1.882
2012/1/12,1.883333
2012/1/13,1.519333
2012/1/17,1.773333
2012/1/18,1.787333
2012/1/19,1.784
2012/1/20,1.773333
2012/1/23,1.784667
2012/1/24,1.828
2012/1/25,1.864667
2012/1/26,1.929333
2012/1/27,1.955333
2012/1/30,1.971333
2012/1/31,1.938
2012/2/1,1.972
2012/2/2,2.016667
2012/2/3,2.076667
2012/2/6,2.12
2012/2/7,2.106667
2012/2/8,2.128667
2012/2/9,2.172
2012/2/10,2.073333
2012/2/13,2.099333
2012/2/14,2.211333
2012/2/15,2.24
2012/2/16,2.278667
2012/2/17,2.331333
2012/2/21,2.3
2012/2/22,2.281333
2012/2/23,2.302
2012/2/24,2.25
2012/2/27,2.241333
2012/2/28,2.254
2012/2/29,2.227333
2012/3/1,2.294
2012/3/2,2.269333
2012/3/5,2.251333
2012/3/6,2.207333
2012/3/7,2.208
2012/3/8,2.204667
2012/3/9,2.316
2012/3/12,2.400667
2012/3/13,2.406
2012/3/14,2.352667
2012/3/15,2.333333
2012/3/16,2.354667
2012/3/19,2.332
2012/3/20,2.330667
2012/3/21,2.343333
2012/3/22,2.293333
2012/3/23,2.272
2012/3/26,2.493333
2012/3/27,2.529333
2012/3/28,2.523333
2012/3/29,2.488667
2012/3/30,2.482667
2012/4/2,2.438667
2012/4/3,2.534
2012/4/4,2.333333
2012/4/5,2.298667
2012/4/9,2.21
2012/4/10,2.164
2012/4/11,2.206
2012/4/12,2.229333
2012/4/13,2.239333
2012/4/16,2.15
2012/4/17,2.149333
2012/4/18,2.177333
2012/4/19,2.210667
2012/4/20,2.210667
2012/4/23,2.129333
2012/4/24,2.121333
2012/4/25,2.194
2012/4/26,2.232667
2012/4/27,2.222667
2012/4/30,2.208667
2012/5/1,2.252
2012/5/2,2.262667
2012/5/3,2.164
2012/5/4,2.122
2012/5/7,2.164667
2012/5/8,2.012667
2012/5/9,2.004
2012/5/10,2.197333
2012/5/11,2.15
2012/5/14,2.004
2012/5/15,1.962
2012/5/16,1.945333
2012/5/17,1.904667
2012/5/18,1.837333
2012/5/21,1.918
2012/5/22,2.053333
2012/5/23,2.068
2012/5/24,2.018667
2012/5/25,1.987333
2012/5/29,2.112667
2012/5/30,2.027333
2012/5/31,1.966667
2012/6/1,1.876667
2012/6/4,1.858667
2012/6/5,1.860667
2012/6/6,1.948
2012/6/7,1.928667
2012/6/8,2.005333
2012/6/11,1.941333
2012/6/12,1.977333
2012/6/13,1.984667
2012/6/14,1.959333
2012/6/15,1.994
2012/6/18,2.122667
2012/6/19,2.139333
2012/6/20,2.252
2012/6/21,2.146
2012/6/22,2.252667
2012/6/25,2.207333
2012/6/26,2.107333
2012/6/27,2.130667
2012/6/28,2.094
2012/6/29,2.086
2012/7/2,2.026667
2012/7/3,2.044
2012/7/5,2.082
2012/7/6,2.066
2012/7/9,2.099333
2012/7/10,2.084667
2012/7/11,2.100667
2012/7/12,2.18
2012/7/13,2.283333
2012/7/16,2.397333
2012/7/17,2.223333
2012/7/18,2.143333
2012/7/19,2.151333
2012/7/20,2.119333
2012/7/23,2.044
2012/7/24,1.989333
2012/7/25,1.93
2012/7/26,1.875333
2012/7/27,1.967333
2012/7/30,1.823333
2012/7/31,1.828
2012/8/1,1.75
2012/8/2,1.74
2012/8/3,1.818
2012/8/6,1.884667
2012/8/7,2.016667
2012/8/8,1.939333
2012/8/9,1.960667
2012/8/10,1.996
2012/8/13,2.078
2012/8/14,1.961333
2012/8/15,1.96
2012/8/16,2.02
2012/8/17,2.000667
2012/8/20,1.967333
2012/8/21,1.940667
2012/8/22,1.996667
2012/8/23,2.048667
2012/8/24,1.966667
2012/8/27,1.888
2012/8/28,1.912667
2012/8/29,1.894
2012/8/30,1.894
2012/8/31,1.901333
2012/9/4,1.876
2012/9/5,1.862667
2012/9/6,1.903333
2012/9/7,1.956667
2012/9/10,1.824667
2012/9/11,1.853333
2012/9/12,1.885333
2012/9/13,1.965333
2012/9/14,2.026
2012/9/17,2.169333
2012/9/18,2.089333
2012/9/19,2.07
2012/9/20,2.06
2012/9/21,2.001333
